m	M	n	nu	E_trun	E_full	E_s	E_rand	T_full	T_s_setup	T_s_lsqr	T_rand_setup	T_rand_lsqr
11.0	11.0	26.0	10.0	0.39581899538277165	0.2923202813006541	0.3235063536323115	0.9102188907729385	0.418530732	0.119004494	0.785828165	0.100992821	0.041706941
61.0	127.0	251.0	111.0	0.13571429812848912	0.06296246831021599	0.10902026837264224	0.24506349960121124	0.000204714	5.9993e-5	0.005804211	0.000478004	0.000768751
71.0	167.0	303.0	140.0	0.13401381834586734	0.03458360989367761	0.06518818101929379	0.162453050108319	0.000567764	5.078e-5	0.013963853	0.000758225	0.000629681
241.0	461.0	1322.0	432.0	0.03295584769072035	0.011623941797823195	0.019152498206701028	0.04934419223157258	0.000867112	0.000120716	0.019950107	0.008087107	0.001598994
341.0	1823.0	1989.0	1186.0	0.03071137159702031	0.0009959515660508738	0.00827269916121438	0.013846575962999012	0.000990984	0.000166506	0.023874363	0.028621376	0.004138714
351.0	1933.0	2057.0	1274.0	0.03065380734439027	0.004539517929589482	0.0103128794887279	0.012992422692704828	0.000853794	0.000187791	0.020170363	0.028737643	0.004645043
901.0	6353.0	6130.0	3878.0	0.006355827369248002	0.00034500229517232627	0.0015889218378926627	0.00208898617508696	0.002260012	0.000503427	0.049471967	0.260323519	0.080249677
1331.0	6947.0	9575.0	5173.0	0.005108390285198494	0.00011678347004998844	0.0009815203205594905	0.001947440857160104	0.003036326	0.000775063	0.064605795	0.54251316	0.188144736
2573.0	25889.0	20205.0	13945.0	0.0011692458529170002	1.724881473061969e-5	0.00019286707017255052	0.00027928585292775863	0.00660648	0.00527179	0.209599282	2.880715979	1.147151805
3103.0	75239.0	24949.0	21243.0	0.0010973912787034523	4.821633681164214e-6	0.00016534443406245278	0.0001914380072620007	0.019924105	0.002489614	0.555700655	5.576725764	2.705772302
5103.0	101737.0	43567.0	35407.0	0.0006884544573697582	5.520911549426322e-6	9.383162447551801e-5	0.00011919736500058885	0.025139433	0.004578976	0.593192603	12.192295434	4.513013823
9323.0	169783.0	85214.0	67051.0	0.00019413179688210214	9.173214051429557e-7	2.4358661500482605e-5	3.193792566280137e-5	0.041155277	0.008774408	0.926250205	41.709734124	16.954643501
13983.0	381911.0	133476.0	112757.0	0.0001107670194148147	3.061603234838848e-7	1.3524127633518744e-5	1.5985834170040155e-5	0.119903919	0.01819291	2.567554205	105.209188265	44.672206858
23483.0	1.077079e6	236334.0	212204.0	4.284482769179032e-5	2.4910279517889806e-8	4.694533844019028e-6	5.23321669409139e-6	0.28098142	0.046775939	8.59134341	337.966651619	135.145964652
37693.0	2.774953e6	397180.0	369925.0	1.934705031980677e-5	1.2911259724404726e-8	2.042988908995498e-6	0.0	0.900022633	0.153724449	23.480556722	0.0	0.0
56053.0	6.136619e6	612886.0	583404.0	1.1077830153749524e-5	2.980634852221733e-9	1.1294777549264532e-6	0.0	2.131622705	0.195361241	56.100566106	0.0	0.0
82613.0	1.3329913e7	935338.0	903323.0	4.980972598489508e-6	4.0228274940969044e-9	4.877442939041676e-7	0.0	3.205775566	0.331627742	79.871479297	0.0	0.0
126103.0	3.1058581e7	1.481061e6	1.446538e6	2.4496661271689035e-6	5.7139194624084866e-11	2.2662249182772235e-7	0.0	13.505562509	0.61247346	316.02336189	0.0	0.0
192793.0	3.6298021e7	2.34617e6	2.271853e6	1.0981626883399542e-6	1.0672135068943259e-10	9.799277790614457e-8	0.0	17.357170421	1.121146248	413.157441388	0.0	0.0
294213.0	8.4532541e7	3.704748e6	3.6252e6	5.200544089811743e-7	3.453876788297055e-11	4.513821024839838e-8	0.0	28.929645287	2.220007065	608.453184385	0.0	0.0
439925.0	1.88998087e8	5.716544e6	5.631211e6	2.4448555058231847e-7	1.8650344586828906e-12	2.0526557168089394e-8	0.0	95.305334767	3.810257776	2123.311079405	0.0	0.0
663215.0	4.29545087e8	8.890301e6	8.798419e6	1.0762489988103141e-7	1.2364720785162223e-12	8.68316447368247e-9	0.0	139.021765769	8.416809628	3138.009879384	0.0	0.0
1.002145e6	4.90378249e8	1.3847292e7	1.3654063e7	4.886680471383187e-8	9.926255538515977e-13	3.837179434480852e-9	0.0	263.648373968	10.770025008	5897.949642485	0.0	0.0
