m	M	n	nu	E_trun	E_full	E_s	E_rand	T_full	T_s_setup	T_s_lsqr	T_rand_setup	T_rand_lsqr
11.0	11.0	26.0	10.0	0.39581899538277165	0.2923202813006541	0.2923202813006542	0.41179628226302184	0.355202095	0.103694871	0.758689166	0.090950397	0.037136865
61.0	127.0	251.0	107.0	0.13571429812848912	0.0609375070499403	0.09525999409907845	0.18956656946110603	0.000232046	8.0157e-5	0.00736168	0.000449681	0.000889569
71.0	167.0	303.0	138.0	0.13401381834586734	0.03111071735227586	0.06306070333064458	0.12669435355000525	0.000656519	5.0603e-5	0.014753724	0.000681063	0.000630143
241.0	919.0	1322.0	685.0	0.03295584769072035	0.0023647527339548165	0.013397003354371174	0.018745479532649316	0.000888819	0.000104362	0.021411819	0.011594944	0.002617001
341.0	919.0	1989.0	829.0	0.03071137159702031	0.007070977700194471	0.012107807777924542	0.021584221671801743	0.000911673	0.000126652	0.020156851	0.019873721	0.003895593
351.0	1933.0	2057.0	1276.0	0.03065380734439027	0.0013029398360155959	0.007233551332090146	0.010586950879352935	0.000861862	0.000169941	0.020384825	0.0290521	0.005308671
901.0	6353.0	6130.0	3931.0	0.006355827369248002	7.647811851172845e-5	0.0013307060883290783	0.0018654433199098578	0.001742131	0.165019339	0.040438411	0.250485963	0.1117125
1331.0	13859.0	9575.0	6953.0	0.005108390285198494	0.00024224554376283975	0.0010370281892409672	0.0010822671317354275	0.002996935	0.000618556	0.073439086	0.856306385	0.349815605
2573.0	25889.0	20205.0	13980.0	0.0011692458529170002	1.8534146019139145e-5	0.00019998377392724153	0.0002919346397630064	0.00483222	0.001280511	0.112456149	2.559569785	1.15298747
3103.0	37633.0	24949.0	18256.0	0.0010973912787034523	1.4531536859093368e-5	0.0001763201996684093	0.00023973511687426432	0.00717488	0.001941412	0.177116578	3.892793861	1.755971407
5103.0	101737.0	43567.0	35497.0	0.0006884544573697582	2.0894028873763904e-6	9.367204701857897e-5	0.00011544125560862882	0.01844614	0.00262518	0.431886848	12.269885949	5.222844035
9323.0	339557.0	85214.0	75160.0	0.00019413179688210214	1.466717232697928e-7	2.4486746749258457e-5	2.8234029051911272e-5	0.078951426	0.009529976	2.009382688	46.391826539	18.944058824
13983.0	381911.0	133476.0	112680.0	0.0001107670194148147	3.30359503387576e-7	1.2673426959093349e-5	1.5617422490460128e-5	0.083509904	0.01152265	2.057554269	105.394877787	43.087091267
23483.0	1.077079e6	236334.0	212230.0	4.284482769179032e-5	3.436143974240391e-8	4.893445753153331e-6	5.516146940151931e-6	0.294286088	0.038242003	7.238512776	333.878386002	141.717069063
37693.0	2.774953e6	397180.0	370221.0	1.934705031980677e-5	1.398524525356675e-8	2.0301983448048405e-6	0.0	0.8406232	0.088214792	20.457750693	0.0	0.0
56053.0	6.136619e6	612886.0	583482.0	1.1077830153749524e-5	6.082855051931411e-9	1.113701239151543e-6	0.0	2.010792906	0.138471825	48.624816716	0.0	0.0
82613.0	6.664961e6	935338.0	872707.0	4.980972598489508e-6	2.111508603756501e-9	4.899984392404042e-7	0.0	1.307977279	0.201084427	33.261493373	0.0	0.0
126103.0	1.5529303e7	1.481061e6	1.412523e6	2.4496661271689035e-6	8.359681395538017e-10	2.3182234900293176e-7	0.0	5.669318617	0.42292955	150.147965157	0.0	0.0
192793.0	3.6298021e7	2.34617e6	2.271975e6	1.0981626883399542e-6	2.0303972434167634e-10	9.921170194981025e-8	0.0	17.492149534	0.988449402	404.308656904	0.0	0.0
294213.0	8.4532541e7	3.704748e6	3.624808e6	5.200544089811743e-7	5.815867230479717e-11	4.503500416555039e-8	0.0	24.812827056	2.313679498	606.779119191	0.0	0.0
439925.0	1.88998087e8	5.716544e6	5.631002e6	2.4448555058231847e-7	3.457694967485391e-12	2.0357284664187177e-8	0.0	100.760588453	4.286196259	2089.624683361	0.0	0.0
663215.0	4.29545087e8	8.890301e6	8.798623e6	1.0762489988103141e-7	2.882402611984563e-12	8.680322650114371e-9	0.0	125.694478726	9.475183233	3024.636508368	0.0	0.0
1.002145e6	9.80756471e8	1.3847292e7	1.374991e7	4.886680471383187e-8	3.394621987212584e-13	3.8221257478894005e-9	0.0	523.187603274	16.923156901	11898.228396873	0.0	0.0
