m	M	n	nu	E_trun	E_full	E_s	E_rand	T_full	T_s_setup	T_s_lsqr	T_rand_setup	T_rand_lsqr
11.0	11.0	26.0	11.0	0.39581899538277165	0.2923202813006541	0.2923202813006541	1.7005574548165967	0.353596441	0.10417235	0.710016914	0.087155829	0.036697853
61.0	127.0	251.0	113.0	0.13571429812848912	0.030466868854950844	0.0817213379003999	0.2054935947220544	0.000263988	7.953e-5	0.006138069	0.000468959	0.000836352
71.0	167.0	303.0	148.0	0.13401381834586734	0.03379162682788715	0.04017037597121934	0.10739083479662218	0.000676125	5.0613e-5	0.014961332	0.001032364	0.000649768
241.0	461.0	1322.0	432.0	0.03295584769072035	0.012709243938812637	0.01858073562578114	0.05930100264522232	0.00091157	8.8782e-5	0.022213007	0.007284298	0.001566948
341.0	1823.0	1989.0	1203.0	0.03071137159702031	0.004715437894912473	0.010145668446779825	0.009284930390462768	0.001231393	0.000151338	0.076644322	0.028354211	0.004422143
351.0	1933.0	2057.0	1256.0	0.03065380734439027	0.0020424200078385025	0.008108269319084385	0.011771681677896096	0.001148775	0.000323108	0.02868868	0.02844778	0.005399047
901.0	6353.0	6130.0	3941.0	0.006355827369248002	0.0002243754543341754	0.001362633461293913	0.002050903442286531	0.002216854	0.000574375	0.052286077	0.272394348	0.058351893
1331.0	13859.0	9575.0	6820.0	0.005108390285198494	3.916464933659672e-5	0.0009692788192579066	0.0012480039852196183	0.004532497	0.000785065	0.103276536	0.627850498	0.164458649
2573.0	25889.0	20205.0	13861.0	0.0011692458529170002	2.7851078255687834e-5	0.00021026362889802757	0.0002668810924978532	0.005215862	0.00120461	0.147452521	2.291325597	1.07657248
3103.0	37633.0	24949.0	18251.0	0.0010973912787034523	5.271206994575092e-6	0.00015771026417384944	0.00022726390074838583	0.009053588	0.00189858	0.226448241	3.766168433	1.684958519
5103.0	101737.0	43567.0	35310.0	0.0006884544573697582	1.8305077083279223e-6	9.625990256620457e-5	0.00011800676438802107	0.024036194	0.002656797	0.497123068	12.027471614	5.053152276
9323.0	169783.0	85214.0	66963.0	0.00019413179688210214	9.641820973222926e-7	2.4953923760793316e-5	3.1840317035699424e-5	0.03469695	0.008169657	0.987145133	41.512964232	18.333089217
13983.0	381911.0	133476.0	112493.0	0.0001107670194148147	1.7309592766352607e-7	1.3518983181942297e-5	1.53515953987334e-5	0.089110419	0.013752088	2.021316711	102.22369525	43.546143978
23483.0	1.077079e6	236334.0	212068.0	4.284482769179032e-5	4.063806616204543e-8	4.777105581516417e-6	5.281011749242185e-6	0.282006509	0.034278235	6.45242148	346.847497972	127.084992766
37693.0	2.774953e6	397180.0	370143.0	1.934705031980677e-5	1.7165286642012084e-8	2.0579412246433887e-6	0.0	0.841358937	0.088949375	21.037258152	0.0	0.0
56053.0	6.136619e6	612886.0	583383.0	1.1077830153749524e-5	8.547103280129818e-9	1.124440763911457e-6	0.0	2.421336451	0.139159892	57.799712757	0.0	0.0
82613.0	1.3329913e7	935338.0	903464.0	4.980972598489508e-6	2.4419243340689157e-9	4.898605468165204e-7	0.0	3.193800218	0.479493875	79.996389798	0.0	0.0
126103.0	1.5529303e7	1.481061e6	1.412657e6	2.4496661271689035e-6	7.992455391645117e-10	2.321460664690774e-7	0.0	6.24443869	0.601976649	141.965481443	0.0	0.0
192793.0	3.6298021e7	2.34617e6	2.27185e6	1.0981626883399542e-6	9.238552935365443e-11	9.957538049711156e-8	0.0	17.704648411	1.114475412	408.109779277	0.0	0.0
294213.0	8.4532541e7	3.704748e6	3.624557e6	5.200544089811743e-7	1.6251449082898534e-11	4.51397088780682e-8	0.0	25.54577559	2.425953533	607.879615769	0.0	0.0
439925.0	1.88998087e8	5.716544e6	5.631028e6	2.4448555058231847e-7	4.999312072664335e-12	2.04236075779837e-8	0.0	92.264226331	4.107933254	2097.652143769	0.0	0.0
663215.0	4.29545087e8	8.890301e6	8.798691e6	1.0762489988103141e-7	6.5785893902322254e-12	8.736733944031435e-9	0.0	135.957142725	8.576145251	3069.772563183	0.0	0.0
1.002145e6	4.90378249e8	1.3847292e7	1.3654617e7	4.886680471383187e-8	1.9062327514496797e-12	3.81886993553682e-9	0.0	258.238847498	10.818713308	5800.762401772	0.0	0.0
