m	E_trun	E_alias	FCV
7.0	0.1818498500134088	0.00013246384628353108	0.19563264372372946
25.0	0.03236441979326676	7.57995416698184e-5	0.042147580698969275
31.0	0.030527901628035203	0.00011888206529560436	0.0406817626797015
69.0	0.0043804035721464185	9.290072903110736e-5	0.014167574421796392
75.0	0.004380246914778008	9.87115847062207e-5	0.0141798658246036
105.0	0.0031510789399062933	0.0001322121149488877	0.013137707521753713
111.0	0.0030889095470656436	0.0001467991175103104	0.01306438676240219
183.0	0.0007000856649947984	0.0002151700830987073	0.010623454821166951
219.0	0.0006453583780768879	0.000246446514482016	0.010607981255315294
303.0	0.00036483365439532456	0.00033306418894287127	0.010394732168041673
447.0	0.00017157837516623697	0.00045565164088732786	0.010384686107308536
579.0	0.00010271218666957349	0.0005699108647476295	0.010479519638035735
801.0	5.979361241370551e-5	0.0008441858631615653	0.010663041497734215
1097.0	3.6407001135496664e-5	0.0012060868592424813	0.01097981420815279
1457.0	1.5956687958174065e-5	0.0017034540068620388	0.011349894547386786
1895.0	9.543041548765174e-6	0.002299739574113718	0.011917933445038663
2459.0	6.533619151705139e-6	0.003238532015029631	0.012804569379385584
3281.0	3.1943916527499283e-6	0.004771345108679553	0.014442004789272963
4205.0	1.7415949917776175e-6	0.007138120478744511	0.016805238965918887
5659.0	9.398281183292667e-7	0.013162931458420705	0.022527221212775218
7687.0	5.37434943437276e-7	0.03230986196561655	0.044060221929899286
10045.0	2.7984305495110107e-7	0.10863064190020986	48.551225157311066
