m	E_trun	E_alias	FCV
7.0	0.1818498500134088	7.747365316675593e-5	0.18485799775558506
25.0	0.03236441979326676	6.715626522975249e-5	0.03210339488389152
31.0	0.030527901628035203	8.673240822051331e-5	0.030324020942986387
69.0	0.0043804035721464185	2.1222352558849117e-5	0.004341110877799758
75.0	0.004380246914778008	2.4077920339287646e-5	0.004343792790497766
105.0	0.0031510789399062933	4.736913323923556e-5	0.0032561616210924514
111.0	0.0030889095470656436	4.790325392014964e-5	0.0031925116660118887
183.0	0.0007000856649947984	1.8209721331211817e-5	0.0007201327255406474
219.0	0.0006453583780768879	1.992969694000781e-5	0.000673160513789606
303.0	0.00036483365439532456	1.7448957467133823e-5	0.0003870265275617739
447.0	0.00017157837516623697	9.798779893760871e-6	0.0001794373861307059
579.0	0.00010271218666957349	7.3090191796199816e-6	0.00011257249947891838
801.0	5.979361241370551e-5	5.946415454942997e-6	6.756781034514396e-5
1097.0	3.6407001135496664e-5	5.317735448407506e-6	4.2261758666206274e-5
1457.0	1.5956687958174065e-5	3.0112972749544104e-6	1.9217503865563773e-5
1895.0	9.543041548765174e-6	2.4533861811335884e-6	1.2072100879766104e-5
2459.0	6.533619151705139e-6	2.3794083489656483e-6	8.96064535422776e-6
3281.0	3.1943916527499283e-6	1.7557601228274321e-6	4.949687143628394e-6
4205.0	1.7415949917776175e-6	1.556964002076056e-6	3.1512582829065064e-6
5659.0	9.398281183292667e-7	4.428378012332273e-5	2.521029430651268e-5
7687.0	5.37434943437276e-7	0.006366003483039709	0.0030371496467392883
10045.0	2.7984305495110107e-7	0.08074715939194747	20.399395712670348
