m	E_trun	E_alias	FCV
7.0	0.1818498500134088	8.202716717351324e-5	0.21163159575820556
25.0	0.03236441979326676	0.00012395194733961807	0.0633205430168543
31.0	0.030527901628035203	0.00015652174757600052	0.06157940660982072
69.0	0.0043804035721464185	0.00020676272552384528	0.03435474370281066
75.0	0.004380246914778008	0.00023537921863822693	0.034368320525698326
105.0	0.0031510789399062933	0.00033303336524189196	0.03323234039700918
111.0	0.0030889095470656436	0.00035142114037868473	0.033164925297240716
183.0	0.0007000856649947984	0.0005180407701019061	0.031063540545676265
219.0	0.0006453583780768879	0.0006229163184232057	0.031130722616521625
303.0	0.00036483365439532456	0.0008262409266694287	0.031163373117441592
447.0	0.00017157837516623697	0.0012651791489482003	0.031472526984724
579.0	0.00010271218666957349	0.0017031571722007231	0.031857771618194086
801.0	5.979361241370551e-5	0.0025076686655500125	0.032540028742788676
1097.0	3.6407001135496664e-5	0.003670918766892611	0.03345810230479958
1457.0	1.5956687958174065e-5	0.005276032407703109	0.03465080508860571
1895.0	9.543041548765174e-6	0.007294426987838578	0.03641519929691432
2459.0	6.533619151705139e-6	0.010115156312673984	0.03903909329036118
3281.0	3.1943916527499283e-6	0.01481667599011724	0.043783551725218535
4205.0	1.7415949917776175e-6	0.021477329123498506	0.0514029411377806
5659.0	9.398281183292667e-7	0.03969976174397972	0.0685660109458952
7687.0	5.37434943437276e-7	0.09682334581079535	0.13301775892235718
10045.0	2.7984305495110107e-7	0.22255542748625898	104.00493302044448
